Datetime,Username,Text
2021-11-29 13:28:57+00:00,firman__nurhuda,"Saya menyetujui Proyek Jakarta Sumur Resapan seperti Singapura menurut saya lebih efektif tetapi mengeluarkan anggaran segitu besar

Anggaran Melebihi Anggaran Sirkuit Formula E 2,3T danSirkuit Mandalika yang hampir 20 Triliun

cc: @tatakujiyati @Dewmor651
https://t.co/x74l70UWe1"
2021-11-29 13:25:47+00:00,pikiran_rakyat,"Bikin Pembalap dan Tim WSBK 'Jatuh Cinta', Media Asing Sebut Sirkuit Mandalika sebagai Surga!

https://t.co/rqisShc8cz 

#pembalap #balap #motor #superbike #wsbk #cinta #surga #sirkuit #mandalika #media #ntb #lombok #olahraga #otomotif #indonesia #nasional #prmn #pikiranrakyat"
2021-11-29 13:23:17+00:00,BM_Contractors,@S4N_W1B1 Iya
2021-11-29 13:23:04+00:00,BM_Contractors,@wisnu_aj1 Bosen
2021-11-29 13:22:59+00:00,BM_Contractors,@DoniGrapher Hmm
2021-11-29 13:18:46+00:00,Warnilis1,"@detikcom Mandalika GP,, dgn F3 nggk bisa di bandingkan broo,, klu F1 mungkin lah sircuit nya di bikinnya di pulau seribu,, mantap👍👍"
2021-11-29 13:17:54+00:00,Itsmeegieee,info circuit mandalika slur !!! https://t.co/Qv4vHtN6Di
2021-11-29 13:14:01+00:00,MandalikaCity,@CRYPTOFIED1 @TekiKola Done ✔️✔️ https://t.co/DsRSoWDKsv
2021-11-29 13:12:26+00:00,MandalikaCity,@FirzaHusainID @firzahusainInc Terimakasih banyak Mbak 🙏🙏
2021-11-29 13:11:51+00:00,MandalikaCity,@Buddy17976028 @nazaqistsha Emang si bajak laut pegawai apa sekarang..?
2021-11-29 13:09:27+00:00,MandalikaCity,@JewelCrypt0 Done https://t.co/b5Gz0VNuBP
2021-11-29 13:03:25+00:00,CNNIndonesia,Toprak Lalui Jalan Sulit saat Juara Dunia di WSBK Mandalika https://t.co/ViV15uScVn
2021-11-29 13:03:06+00:00,MandalikaCity,🤣🤣🤣 https://t.co/xazRuQF2ZM
2021-11-29 12:57:16+00:00,MandalikaCity,@FirzaHusainID @firzahusainInc Folbek juga ya akun receh saya ini
2021-11-29 12:54:16+00:00,AimanWitjaksono,"Mereka telah melakukan aksi ini lebih dari 50 kali.

Tak hanya di Mandalika. Namun juga di Batam, Singapura, Malaysia, dan Makau.. Komplotan ini tidak bermodal ecek-ecek terbang menggunakan pesawat dan membeli tiket."
